district_id,district_name,low_district_name
714,Bishnupur HD (Bankura),bishnupur hd (bankura)
765,Biswanath,biswanath
242,Bokaro,bokaro
57,Bongaigaon,bongaigaon
176,Botad,botad
468,Boudh,boudh
229,Budgam,budgam
640,Bulandshahr,bulandshahr
367,Buldhana,buldhana
514,Bundi,bundi
342,Burhanpur,burhanpur
100,Buxar,buxar
783,COOCHBEHAR,coochbehar
66,Cachar,cachar
141,Central Delhi,central delhi
271,Chamarajanagar,chamarajanagar
214,Chamba,chamba
699,Chamoli,chamoli
708,Champawat,champawat
429,Champhai,champhai
641,Chandauli,chandauli
399,Chandel,chandel
108,Chandigarh,chandigarh
380,Chandrapur,chandrapur
20,Changlang,changlang
766,Charaideo,charaideo
201,Charkhi Dadri,charkhi dadri
245,Chatra,chatra
565,Chengalpet,chengalpet
571,Chennai,chennai
778,Cheyyar,cheyyar
328,Chhatarpur,chhatarpur
337,Chhindwara,chhindwara
181,Chhotaudepur,chhotaudepur
273,Chikamagalur,chikamagalur
291,Chikkaballapur,chikkaballapur
58,Chirang,chirang
268,Chitradurga,chitradurga
642,Chitrakoot,chitrakoot
10,Chittoor,chittoor
521,Chittorgarh,chittorgarh
400,Churachandpur,churachandpur
530,Churu,churu
539,Coimbatore,coimbatore
715,Cooch Behar,cooch behar
547,Cuddalore,cuddalore
457,Cuttack,cuttack
137,Dadra and Nagar Haveli,dadra and nagar haveli
182,Dahod,dahod
716,Dakshin Dinajpur,dakshin dinajpur
269,Dakshina Kannada,dakshina kannada
138,Daman,daman
327,Damoh,damoh
163,Dang,dang
117,Dantewada,dantewada
94,Darbhanga,darbhanga
717,Darjeeling,darjeeling
48,Darrang,darrang
350,Datia,datia
511,Dausa,dausa
275,Davanagere,davanagere
697,Dehradun,dehradun
473,Deogarh,deogarh
253,Deoghar,deoghar
643,Deoria,deoria
168,Devbhumi Dwaraka,devbhumi dwaraka
324,Dewas,dewas
614,Dhalai,dhalai
118,Dhamtari,dhamtari
257,Dhanbad,dhanbad
341,Dhar,dhar
566,Dharmapuri,dharmapuri
278,Dharwad,dharwad
62,Dhemaji,dhemaji
458,Dhenkanal,dhenkanal
524,Dholpur,dholpur
59,Dhubri,dhubri
388,Dhule,dhule
718,Diamond Harbor HD (S 24 Parganas),diamond harbor hd (s 24 parganas)
25,Dibang Valley,dibang valley
43,Dibrugarh,dibrugarh
67,Dima Hasao,dima hasao
434,Dimapur,dimapur
556,Dindigul,dindigul
336,Dindori,dindori
139,Diu,diu
232,Doda,doda
258,Dumka,dumka
520,Dungarpur,dungarpur
119,Durg,durg
719,East Bardhaman,east bardhaman
105,East Champaran,east champaran
145,East Delhi,east delhi
424,East Garo Hills,east garo hills
11,East Godavari,east godavari
418,East Jaintia Hills,east jaintia hills
23,East Kameng,east kameng
414,East Khasi Hills,east khasi hills
42,East Siang,east siang
535,East Sikkim,east sikkim
247,East Singhbhum,east singhbhum
307,Ernakulam,ernakulam
563,Erode,erode
644,Etah,etah
645,Etawah,etawah
199,Faridabad,faridabad
499,Faridkot,faridkot
647,Farrukhabad,farrukhabad
196,Fatehabad,fatehabad
484,Fatehgarh Sahib,fatehgarh sahib
648,Fatehpur,fatehpur
487,Fazilka,fazilka
480,Ferozpur,ferozpur
649,Firozabad,firozabad
280,Gadag,gadag
379,Gadchiroli,gadchiroli
467,Gajapati,gajapati
228,Ganderbal,ganderbal
153,Gandhinagar,gandhinagar
772,Gandhinagar Corporation,gandhinagar corporation
449,Ganjam,ganjam
243,Garhwa,garhwa
120,Gariaband,gariaband
136,Gaurela Pendra Marwahi ,gaurela pendra marwahi 
650,Gautam Buddha Nagar,gautam buddha nagar
79,Gaya,gaya
651,Ghaziabad,ghaziabad
652,Ghazipur,ghazipur
177,Gir Somnath,gir somnath
256,Giridih,giridih
60,Goalpara,goalpara
262,Godda,godda
53,Golaghat,golaghat
615,Gomati,gomati
653,Gonda,gonda
378,Gondia,gondia
104,Gopalganj,gopalganj
654,Gorakhpur,gorakhpur
267,Gulbarga,gulbarga
251,Gumla,gumla
348,Guna,guna
5,Guntur,guntur
489,Gurdaspur,gurdaspur
188,Gurgaon,gurgaon
313,Gwalior,gwalior
68,Hailakandi,hailakandi
655,Hamirpur,hamirpur
217,Hamirpur,hamirpur
517,Hanumangarh,hanumangarh
656,Hapur,hapur
361,Harda,harda
657,Hardoi,hardoi
702,Haridwar,haridwar
289,Hassan,hassan
658,Hathras,hathras
279,Haveri,haveri
255,Hazaribagh,hazaribagh
386,Hingoli,hingoli
191,Hisar,hisar
764,Hojai,hojai
720,Hoogly,hoogly
360,Hoshangabad,hoshangabad
481,Hoshiarpur,hoshiarpur
721,Howrah,howrah
581,Hyderabad,hyderabad
306,Idukki,idukki
401,Imphal East,imphal east
402,Imphal West,imphal west
